% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=1030796, Tue Jul  8 13:59:41 2025, <python>{}</python>
1 32 0.4751345332612412 1.0000495626316954 -60.375 -6.0375000000000000e+01 -14.75 -9.5 9.3125   
2 64 0.4561659475361004 1.0204115934587281 -60.375 -4.9750000000000000e+01 -20.625 -9.25 19.1875   
3 96 0.44166553584959783 1.0232432994363914 -60.375 -6.0000000000000000e+01 -15.75 -9.0 11.875   
4 128 0.4316017258816365 1.027443472013186 -60.375 -5.6000000000000000e+01 -18.125 -10.875 27.5625   
5 160 0.4247862168140853 1.031161986812335 -89.375 -8.9375000000000000e+01 -29.125 -11.0 25.375   
6 192 0.421569210513876 1.0354837008312892 -89.375 -7.0500000000000000e+01 -33.625 -17.25 15.6875   
7 224 0.41914744417744965 1.040763469430345 -132.125 -1.3212500000000000e+02 -41.5 -16.0 26.0625   
8 256 0.41593968030199907 1.0436076524823135 -289.125 -2.8912500000000000e+02 -32.125 -10.625 27.875   
9 288 0.4143103371829845 1.0481581010887053 -289.125 -1.0287500000000000e+02 -46.125 -9.75 55.3125   
10 320 0.41034691787849625 1.0522941908392234 -289.125 -1.3375000000000000e+02 -52.75 -23.5 32.1875   
11 352 0.4088986934636493 1.055753816366269 -293.125 -2.9312500000000000e+02 -52.25 -20.375 52.4375   
12 384 0.4107638831900662 1.0596016505894574 -293.125 -2.7237500000000000e+02 -82.5 -12.625 93.5   
13 416 0.4123449140730522 1.0659685862841766 -305.0 -3.0500000000000000e+02 -84.5 -20.75 67.5   
14 448 0.41392030248550604 1.07273951795527 -413.875 -4.1387500000000000e+02 -126.25 -27.75 131.25   
15 480 0.4168872227839885 1.0784236776997882 -442.75 -4.4275000000000000e+02 -105.5 -28.25 109.875   
16 512 0.4203166916261299 1.0867595289181888 -480.875 -4.8087500000000000e+02 -181.25 -24.25 153.5   
